[[2024-03-07 04:58:35]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:58:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:58:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:59:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:59:16]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:59:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:59:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:59:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 04:59:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:00:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:00:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:00:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:00:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:00:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:00:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:01:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:01:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:01:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:01:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:01:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:02:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:02:12]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:02:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:02:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:02:43]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:02:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:03:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:03:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:03:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:03:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:03:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:03:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:04:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:04:16]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:04:26]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:04:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:04:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:04:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:05:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:05:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:05:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:05:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:05:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:05:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:06:09]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:06:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:06:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:06:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:06:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:07:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:07:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:07:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:07:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:07:43]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:07:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:08:04]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:08:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:08:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:08:35]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:08:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:08:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:09:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:09:16]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:09:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:09:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:09:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:09:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:10:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:10:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:10:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:10:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:10:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:11:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:11:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:11:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:11:31]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:11:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:11:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:12:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:12:12]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:12:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:12:33]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:12:43]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:12:54]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:13:04]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:13:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:13:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:13:35]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:13:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:13:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:14:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:14:16]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:14:26]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:14:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:14:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:14:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:15:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:15:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:15:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:15:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:15:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:15:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:16:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:16:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:16:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:16:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:16:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:17:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:17:12]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:17:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:17:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:17:43]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:17:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:18:04]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:18:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:18:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:18:35]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:18:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:18:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:19:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:19:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:19:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:19:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:19:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:19:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:20:09]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:20:19]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:20:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:20:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:20:50]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:21:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:21:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:21:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:21:31]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:21:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:21:52]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:22:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:22:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:22:23]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:22:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:22:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:22:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:23:05]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:23:15]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:23:26]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:23:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:23:46]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:23:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:24:07]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:24:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:24:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:24:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 05:24:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
